tempo,danceability,energy,instrumentalness,liveness,valence
210.134,0.63,0.876,0,0.223,0.256
119.866,0.704,0.838,0,0.102,0.348
207.852,0.735,0.811,0.164,0.528,0.42
119.987,0.864,0.727,0,0.295,0.599
139.958,0.48,0.984,0,0.472,0.393
129.992,0.726,0.823,0,0.707,0.156
219.89,0.755,0.765,0,0.565,0.401
124.972,0.881,0.445,0.0647,0.114,0.0379
219.988,0.849,0.98,0.000787,0.551,0.295
184.04,0.602,0.762,0.00819,0.121,0.112
199.994,0.924,0.543,7.32E-05,0.11,0.104
216.152,0.919,0.493,1.62E-06,0.122,0.159
133.993,0.848,0.663,0,0.108,0.333
206.056,0.475,0.788,0,0.128,0.26
200.094,0.762,0.41,3.43E-05,0.157,0.0813
203.982,0.789,0.623,0,0.0835,0.678
140.036,0.756,0.794,0,0.314,0.474
150.008,0.799,0.546,3.19E-06,0.0836,0.736
119.956,0.931,0.273,0,0.137,0.0603
200.02,0.898,0.547,1.04E-05,0.37,0.763
133.052,0.835,0.559,5.50E-05,0.116,0.267
208.054,0.716,0.745,0,0.103,0.0971
139.972,0.723,0.459,0,0.11,0.313
147.904,0.849,0.736,0,0.0757,0.271
120.054,0.762,0.509,0,0.155,0.0671
123.049,0.756,0.74,0.171,0.646,0.308
131.984,0.727,0.846,0,0.143,0.529
212.026,0.783,0.497,0.6,0.124,0.0381
192.008,0.841,0.576,0,0.105,0.278
119.917,0.685,0.402,0.0206,0.402,0.107
179.968,0.556,0.449,0.0372,0.446,0.484
185.948,0.625,0.45,0.000217,0.117,0.0362
150.023,0.8,0.824,0.000221,0.0527,0.462
170.05,0.734,0.724,0,0.248,0.256
125,0.777,0.742,0,0.0957,0.605
138.034,0.733,0.66,0,0.151,0.259
119.999,0.803,0.789,0,0.378,0.647
160.075,0.649,0.538,0.401,0.0928,0.355
159.95,0.58,0.867,0.182,0.14,0.482
130.015,0.801,0.679,8.85E-06,0.188,0.483
